modelo,ROC-AUC (CV mean),ROC-AUC (CV std),AP (CV mean),AP (CV std),Threshold óptimo (OOF),F1 OOF @ óptimo,ROC-AUC (val),AP (val),F1 @ 0.5 (val),F1 @ óptimo (val)
Random Forest (Optuna),0.79361118668515,0.013942359260503525,0.45924221132357906,0.019754031335145732,0.5944218882955472,0.4964374000290825,0.8079220992916694,0.47534103612840073,0.48497854077253216,0.5116279069767442
"Random Forest (GridSearch, balanced)",0.7882550386291302,0.014296926564091868,0.4577298103605757,0.01974580730801542,0.5744277371983307,0.4968870441743255,0.8041601293874285,0.4746382280291678,0.5,0.5110712148414124
Regresión Logística (baseline E1),0.7870188992677236,0.012261065178242561,0.44482857427599276,0.021736699416664573,0.201293944626672,0.4794879255164388,0.7951631124147772,0.45679672120107995,0.3367139959432049,0.4968004653868528
Árbol de Decisión (GridSearch),0.7741826487764923,0.009230022747641592,0.43190181583771803,0.02266477801513913,0.6490650148147483,0.481958041958042,0.7811601220128244,0.4408160809639292,0.42484795829713295,0.49176728869374314
"SVM RBF (GridSearch, subsample 8k)",0.7633955308258638,0.014920633116993714,0.3511980998270123,0.028442873437437254,0.25964098938574004,0.4590763603109282,0.7794515184309793,0.37430793486469366,0.03617571059431524,0.49073554183043233
