modelo,ROC-AUC,F1-yes
"SVM (RBF, balanced)",0.7895720102433249,0.46294416243654823
Árbol podado (max_depth=6),0.7880333682397926,0.3821892393320965
Random Forest (balanced),0.7850039039310326,0.3504587155963303
