ratio,threshold,recall,precision,pct_alertas
50:10,0.5700000000000001,0.5932659932659933,0.4213295074127212,0.158649468892261
80:10,0.52,0.6148148148148148,0.39609544468546637,0.17488619119878604
100:10,0.45,0.6498316498316499,0.3432331495642895,0.21331562974203339
100:5,0.27,0.8666666666666667,0.1616529548451925,0.6040591805766312
200:5,0.060000000000000005,0.9996632996632997,0.11331196091901381,0.9940060698027314
