modelo,AP (CV mean),AP (CV std),ROC-AUC (CV mean),ROC-AUC (CV std)
LightGBM (Optuna),0.46333699281082164,0.02355045785113838,0.7939587193007458,0.015162794950396552
Random Forest (Optuna E2),0.4586271906498373,0.018840309089481592,0.7896210213867332,0.013673688031088493
XGBoost (Optuna),0.4586206734751229,0.020677737837265443,0.7942650820590111,0.013088035870857167
Regresión Logística (baseline),0.44482857427599276,0.021736699416664573,0.7870188992677236,0.012261065178242561
